Reference,Superstructure type,Intesnity Measure,Number of spans,Joint type,Soil type,Column type,Skewness,Horizontal curve,Abutment stiffness,"Seismic design (SD, NSD)",States,Retrofitted,"Fault (Near Fault, Far Field,Both,reverse,Strike-Slip)",Time Dependent(years),Environmental Condition,Description,Units,Number of Damage States,Slight DS(median),Slight DS(Dispersion),Moderate DS(median),Moderate DS(Dispersion),Extensive DS(median),Extensive DS(dipersion),Complete DS(median),Complete DS(Dispersion)
"Mander (1999),C,3MSC_SC,NSD_Califonia,Skewed=30",Concrete,PGA,Three,Continuous,General,Single column,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.35,0.6,0.421868957,0.6,0.502224948,0.6,0.743292924,0.6
"Mander (1999),PC,3MSC_SC,NSD_Califonia,Skewed=30",Prestressed Concrete,PGA,Three,Continuous,General,Single column,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.35,0.6,0.421868957,0.6,0.502224948,0.6,0.743292924,0.6
"Mander (1999),C,3MSC_SC,SD,Skewed=30",Concrete,PGA,Three,Continuous,General,Single column,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.91,0.6,0.914049406,0.6,1.054672392,0.6,1.386140858,0.6
"Mander (1999),PC,3MSC_SC,SD,Skewed=30",Prestressed Concrete,PGA,Three,Continuous,General,Single column,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.91,0.6,0.914049406,0.6,1.054672392,0.6,1.386140858,0.6
"Mander (1999),C,3MSC_SC,NSD_nonCalifonia,Skewed=30",Concrete,PGA,Three,Continuous,General,Single column,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.793515419,0.6,1.054672392,0.6,1.386140858,0.6
"Mander (1999),PC,3MSC_SC,NSD_nonCalifonia,Skewed=30",Prestressed Concrete,PGA,Three,Continuous,General,Single column,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.793515419,0.6,1.054672392,0.6,1.386140858,0.6
"Mander (1999),C,3MSC_SC,NSD_Califonia,Skewed=30",Concrete,PGA,Three,Continuous,General,Single column,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.793515419,0.6,1.054672392,0.6,1.386140858,0.6
"Mander (1999),PC,3MSC_SC,NSD_Califonia,Skewed=30",Prestressed Concrete,PGA,Three,Continuous,General,Single column,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.793515419,0.6,1.054672392,0.6,1.386140858,0.6
"Mander (1999),C,3MSC_MC,SD,Skewed=30",Concrete,PGA,Three,Continuous,General,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.91,0.6,0.914049406,0.6,1.054672392,0.6,1.386140858,0.6
"Mander (1999),PC,3MSC_MC,SD,Skewed=30",Prestressed Concrete,PGA,Three,Continuous,General,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.91,0.6,0.914049406,0.6,1.054672392,0.6,1.386140858,0.6
"Mander (1999),C,3MSC_MC,NSD_nonCalifonia,Skewed=30",Concrete,PGA,Three,Continuous,General,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.793515419,0.6,1.054672392,0.6,1.386140858,0.6
"Mander (1999),PC,3MSC_MC,NSD_nonCalifonia,Skewed=30",Prestressed Concrete,PGA,Three,Continuous,General,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.793515419,0.6,1.054672392,0.6,1.386140858,0.6
"Mander (1999),C,3MSC_MC,NSD_Califonia,Skewed=30",Concrete,PGA,Three,Continuous,General,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.793515419,0.6,1.054672392,0.6,1.386140858,0.6
"Mander (1999),PC,3MSC_MC,NSD_Califonia,Skewed=30",Prestressed Concrete,PGA,Three,Continuous,General,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.6,0.6,0.793515419,0.6,1.054672392,0.6,1.386140858,0.6
"Mander (1999),St,3MSC_SC,SD,Skewed=30",Steel,PGA,Three,Continuous,General,Single column,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.91,0.6,0.914049406,0.6,1.054672392,0.6,1.386140858,0.6
"Mander (1999),St,3MSC_SC,NSD_nonCalifonia,Skewed=30",Steel,PGA,Three,Continuous,General,Single column,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.716045864,0.6,0.716045864,0.6,0.716045864,0.6,0.979852236,0.6
"Mander (1999),St,3MSC_SC,NSD_Califonia,Skewed=30",Steel,PGA,Three,Continuous,General,Single column,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.76,0.6,0.763381922,0.6,0.763381922,0.6,1.044627893,0.6
"Mander (1999),St,3MSC_MC,SD,Skewed=30",Steel,PGA,Three,Continuous,General,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.91,0.6,0.914049406,0.6,1.054672392,0.6,1.386140858,0.6
"Mander (1999),St,3MSC_MC,NSD_nonCalifonia,Skewed=30",Steel,PGA,Three,Continuous,General,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.716045864,0.6,0.716045864,0.6,0.716045864,0.6,0.979852236,0.6
"Mander (1999),St,3MSC_MC,NSD_Califonia,Skewed=30",Steel,PGA,Three,Continuous,General,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.76,0.6,0.763381922,0.6,0.763381922,0.6,1.044627893,0.6
"Mander (1999),C,4MSSS_MC,SD,Skewed=30",Concrete,PGA,Four,Simply Supported,General,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.45,0.6,0.736139228,0.6,1.017034459,0.6,1.481964498,0.6
"Mander (1999),St,4MSSS_MC,SD,Skewed=30",Steel,PGA,Four,Simply Supported,General,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.45,0.6,0.736139228,0.6,1.017034459,0.6,1.481964498,0.6
"Mander (1999),PC,4MSSS_MC,SD,Skewed=30",Prestressed Concrete,PGA,Four,Simply Supported,General,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.45,0.6,0.736139228,0.6,1.017034459,0.6,1.481964498,0.6
"Mander (1999),C,4MSSS_MC,NSD_nonCalifornia,Skewed=30",Concrete,PGA,Four,Simply Supported,General,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.26,0.6,0.339011486,0.6,0.426185869,0.6,0.629592761,0.6
"Mander (1999),St,4MSSS_MC,NSD_nonCalifornia,Skewed=30",Steel,PGA,Four,Simply Supported,General,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.26,0.6,0.330561273,0.6,0.415562743,0.6,0.613899507,0.6
"Mander (1999),PC,4MSSS_MC,NSD_nonCalifornia,Skewed=30",Prestressed Concrete,PGA,Four,Simply Supported,General,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.26,0.6,0.339011486,0.6,0.426185869,0.6,0.629592761,0.6
"Mander (1999),C,4MSSS_MC,NSD_California,Skewed=30",Concrete,PGA,Four,Simply Supported,General,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.33,0.6,0.445557954,0.6,0.542418378,0.6,0.803941525,0.6
"Mander (1999),St,4MSSS_MC,NSD_California,Skewed=30",Steel,PGA,Four,Simply Supported,General,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY. * General class fragility curves, that the soil classification parameter needs to be incoporated to be the bridge specific fragility parameters",g,4,0.33,0.6,0.445557954,0.6,0.542418378,0.6,0.803941525,0.6
